"时间","S1L Monitor: S1L Monitor (N)","S1R Monitor: S1R Monitor (N)","S2L Monitor: S2L Monitor (N)","S2R Monitor: S2R Monitor (N)","S3L Monitor: S3L Monitor (N)","S3R Monitor: S3R Monitor (N)"
2.0952999999999973,7762.897409018632,8325.84748616576,-4827.033137720226,-4531.91233636961,-8255.21376495074,-7975.663934036947
2.0953999999999975,7768.082651202012,8329.762352144942,-4829.891982922513,-4534.777591111908,-8246.75756511405,-7972.64924324508
2.0954999999999977,7773.167645194119,8333.606614448547,-4832.827724864923,-4537.543004299726,-8238.386270469153,-7969.807335028126
2.095599999999998,7778.15232466965,8337.40095653418,-4835.795015136754,-4540.200933924052,-8230.117701275965,-7967.159003340311
2.095699999999998,7783.008102211395,8341.111495125067,-4838.723512414139,-4542.737419360171,-8222.02263629256,-7964.751994330122
2.0957999999999983,7787.759828352129,8344.750120867917,-4841.644137695193,-4545.179671019709,-8214.0133112514,-7962.523151432213
2.0958999999999985,7792.389862642331,8348.33760693807,-4844.576252984936,-4547.527154590083,-8206.093113383176,-7960.463859638277
2.0959999999999988,7796.932524938279,8351.924288408183,-4847.575909921959,-4549.793677636856,-8198.182317303335,-7958.538379084971
2.096099999999999,7801.329893458955,8355.477958150583,-4850.577262671146,-4551.950953523787,-8190.414093581896,-7956.83240309443
2.096199999999999,7805.581215490233,8358.995001223102,-4853.57260245714,-4554.0164315114835,-8182.751191699801,-7955.316828429263
2.0962999999999994,7809.675839038241,8362.482011791284,-4856.557898269308,-4555.998501242142,-8175.172396520912,-7953.9659112223635
2.0963999999999996,7813.567036007142,8365.944639885569,-4859.548752222385,-4557.902182468984,-8167.681162876559,-7952.774106920372
2.0965,7817.206941793538,8369.398933645705,-4862.566205166735,-4559.733884763583,-8160.288218826396,-7951.744489247398
2.0966,7820.610254097489,8372.84834234565,-4865.607268048646,-4561.500148019951,-8153.002931812232,-7950.873065290084
2.0967000000000002,7823.879455481933,8376.300864833673,-4868.659079947404,-4563.211919858637,-8145.8156156378855,-7950.138271937687
2.0968000000000004,7827.073823237611,8379.767375197407,-4871.710779850914,-4564.877273201439,-8138.717354802288,-7949.522165889302
2.0969000000000007,7830.220448545508,8383.266181894935,-4874.757724275734,-4566.500294917863,-8131.706716361753,-7949.015358698085
2.097000000000001,7833.296175784069,8386.80261069624,-4877.780595301042,-4568.08410507191,-8124.79111735684,-7948.610328004239
2.097100000000001,7836.23310175258,8390.36215755069,-4880.7621546763985,-4569.63309496631,-8117.981706207557,-7948.292651742347
2.0972000000000013,7838.971658293238,8393.937636956047,-4883.7161897872975,-4571.151327241492,-8111.28972921133,-7948.043945798385
2.0973000000000015,7841.5041326845085,8397.529630302128,-4886.659732490124,-4572.643430936659,-8104.721451812095,-7947.850096097135
2.0974000000000017,7843.84676096663,8401.161471245887,-4889.595312526936,-4574.115153159369,-8098.276433043036,-7947.7042216944055
2.097500000000002,7845.999703041922,8404.834573236549,-4892.5115600842455,-4575.572738911441,-8091.962335238557,-7947.605153200088
2.097600000000002,7847.97109130476,8408.512595845346,-4895.365660531988,-4577.021133480423,-8085.806721284094,-7947.554271162835
2.0977000000000023,7849.8104822465375,8412.224197907333,-4898.1849360246,-4578.483459723979,-8079.755000847909,-7947.534877201273
2.0978000000000026,7851.530917293126,8415.982078468433,-4900.953252057094,-4579.956289791571,-8073.824736751271,-7947.559174360467
2.0979000000000028,7853.11308045492,8419.75232145759,-4903.634171405661,-4581.427476836405,-8068.074059948924,-7947.635837345565
2.098000000000003,7854.569384240873,8423.519752291624,-4906.278205869085,-4582.921229444028,-8062.476649637998,-7947.7358255960735
2.098100000000003,7855.9229052743885,8427.308267755221,-4908.9408267092895,-4584.456489854553,-8056.971017059991,-7947.845677570587
2.0982000000000034,7857.146492610253,8431.117259328896,-4911.575078260059,-4586.017834451815,-8051.584494276997,-7947.984029945441
2.0983000000000036,7858.233623925205,8434.946742125696,-4914.167665151936,-4587.607224061869,-8046.323046224511,-7948.159925023366
2.098400000000004,7859.188026180487,8438.728869673967,-4916.685911528516,-4589.208334702721,-8041.233412260001,-7948.375047370901
2.098500000000004,7860.085056145405,8442.482853686928,-4919.208404021644,-4590.857710506428,-8036.249763859516,-7948.604342199358
2.0986000000000042,7860.9342165434,8446.20471020458,-4921.707756203745,-4592.542023689204,-8031.37018822539,-7948.855611722258
