"时间","Fz Monitor: Fz Monitor (N)"
2.693200000001259,59693.86313077212
2.6933000000012592,59673.046523052246
2.6934000000012595,59652.00485666377
2.6935000000012597,59630.78164980055
2.69360000000126,59609.927858149065
2.69370000000126,59589.68544995186
2.6938000000012603,59569.4888256985
2.6939000000012605,59549.076741891586
2.6940000000012607,59528.1338788293
2.694100000001261,59506.882702256255
2.694200000001261,59485.55832299413
2.6943000000012614,59464.08973448645
2.6944000000012616,59442.676599068924
2.6945000000012618,59421.14370802343
2.694600000001262,59399.718139496545
2.694700000001262,59378.45363163248
2.6948000000012624,59357.37603322466
2.6949000000012626,59335.907190236605
2.695000000001263,59314.23395764426
2.695100000001263,59292.61418202667
2.6952000000012633,59271.30288609855
2.6953000000012635,59249.74124000696
2.6954000000012637,59228.16697434191
2.695500000001264,59206.862134299765
2.695600000001264,59185.53327990777
2.6957000000012643,59164.90753789179
2.6958000000012645,59145.23281278837
2.6959000000012647,59125.72741650624
2.696000000001265,59106.11258057249
2.696100000001265,59086.927223388164
2.6962000000012654,59068.511055267554
2.6963000000012656,59050.25661340856
2.696400000001266,59032.50494442081
2.696500000001266,59015.20579927059
2.696600000001266,58998.21716924002
2.6967000000012664,58981.71724453744
2.6968000000012666,58965.34217829302
2.696900000001267,58949.52556796874
2.697000000001267,58934.184689965856
2.6971000000012673,58919.44425306295
2.6972000000012675,58904.94144940375
2.6973000000012677,58891.29855269988
2.697400000001268,58878.73877848918
2.697500000001268,58867.14639167176
2.6976000000012683,58856.31810438138
2.6977000000012685,58846.337467649006
2.6978000000012687,58837.03720619592
2.697900000001269,58829.05334833917
2.698000000001269,58822.386106983926
2.6981000000012694,58816.63308352357
2.6982000000012696,58811.47416153424
2.69830000000127,58806.69070293988
2.69840000000127,58802.21313338249
2.69850000000127,58798.147861311125
2.6986000000012704,58794.70448165834
2.6987000000012706,58792.139742455984
2.698800000001271,58790.6399892969
2.698900000001271,58790.14945753848
2.6990000000012713,58790.609383932366
2.6991000000012715,58791.74441359755
2.6992000000012717,58794.14368990883
2.699300000001272,58798.226899565954
2.699400000001272,58803.88386939802
2.6995000000012723,58810.67451637422
2.6996000000012725,58818.454678002665
2.6997000000012727,58827.36778920992
2.699800000001273,58837.99694735965
2.699900000001273,58850.500549844604
2.7000000000012734,58864.70141427256
2.7001000000012736,58880.38772348052
2.700200000001274,58896.73493255149
2.700300000001274,58913.2235368205
2.7004000000012742,58929.839170195046
2.7005000000012744,58946.937327459455
2.7006000000012746,58964.90802415917
2.700700000001275,58983.81753638998
2.700800000001275,59004.10485764983
2.7009000000012753,59025.82568144074
2.7010000000012755,59048.7530510392
2.7011000000012757,59072.756299539076
2.701200000001276,59097.542873631675
2.701300000001276,59123.095357741026
2.7014000000012763,59149.736830939764
2.7015000000012765,59177.71978234229
2.7016000000012768,59206.90207566696
2.701700000001277,59236.80156471132
2.701800000001277,59266.93354133139
